incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
2200968,2021-12-30,Pennsylvania,Philadelphia,5100 block of Germantown Ave,0,7,https://www.gunviolencearchive.org/incident/2200968,2021,12-2021
2201052,2021-12-30,Missouri,Kirksville,700 block of E Dodson St,3,1,https://www.gunviolencearchive.org/incident/2201052,2021,12-2021
2198521,2021-12-27,Colorado,Denver,56 Broadway,6,2,https://www.gunviolencearchive.org/incident/2198521,2021,12-2021
2198014,2021-12-27,Ohio,Youngstown,2626 Tyrell Ave,1,3,https://www.gunviolencearchive.org/incident/2198014,2021,12-2021
2200720,2021-12-27,Alabama,Mobile,3606 Moffett Rd,1,3,https://www.gunviolencearchive.org/incident/2200720,2021,12-2021
2197178,2021-12-26,Virginia,Clear Brook,I-81 S and Visitor Center Loop,1,4,https://www.gunviolencearchive.org/incident/2197178,2021,12-2021
2197391,2021-12-26,Texas,Garland,730 W Walnut St,3,1,https://www.gunviolencearchive.org/incident/2197391,2021,12-2021
2198071,2021-12-26,New York,Buffalo,1300 block of Jefferson Ave,0,4,https://www.gunviolencearchive.org/incident/2198071,2021,12-2021
2197421,2021-12-26,Mississippi,Fayette,225 Community Dr,1,6,https://www.gunviolencearchive.org/incident/2197421,2021,12-2021
2197328,2021-12-26,Pennsylvania,Philadelphia,800 block of W Clearfield St,0,4,https://www.gunviolencearchive.org/incident/2197328,2021,12-2021
2196827,2021-12-25,Louisiana,Lafayette,2100 block of NE Evangeline Thruway,0,4,https://www.gunviolencearchive.org/incident/2196827,2021,12-2021
2196434,2021-12-24,Georgia,Roswell,401 Huntington Dr,1,3,https://www.gunviolencearchive.org/incident/2196434,2021,12-2021
2196267,2021-12-24,Pennsylvania,Pittsburgh,7300 block of Schoyer St,0,6,https://www.gunviolencearchive.org/incident/2196267,2021,12-2021
2196839,2021-12-24,New York,Brooklyn,1031 Nostrand Ave,0,4,https://www.gunviolencearchive.org/incident/2196839,2021,12-2021
2193049,2021-12-19,Illinois,Lovejoy (Brooklyn),213 Madison St,1,3,https://www.gunviolencearchive.org/incident/2193049,2021,12-2021
2191752,2021-12-17,Maryland,Baltimore,600 block of Laurens St,1,3,https://www.gunviolencearchive.org/incident/2191752,2021,12-2021
2192046,2021-12-17,Maryland,Baltimore,1300 block of W North Ave,1,4,https://www.gunviolencearchive.org/incident/2192046,2021,12-2021
2191683,2021-12-17,Virginia,Portsmouth,4105 Portsmouth Blvd,0,4,https://www.gunviolencearchive.org/incident/2191683,2021,12-2021
2188999,2021-12-13,California,Fresno,E Normal Ave and Mayfair Dr S,0,4,https://www.gunviolencearchive.org/incident/2188999,2021,12-2021
2188843,2021-12-13,Pennsylvania,Philadelphia,3400 block of Emerald St,0,4,https://www.gunviolencearchive.org/incident/2188843,2021,12-2021
2188260,2021-12-13,North Carolina,Durham,Eugene St and Mathison St,2,4,https://www.gunviolencearchive.org/incident/2188260,2021,12-2021
2187939,2021-12-12,Mississippi,Bolton,6171 W. Northside Dr,0,6,https://www.gunviolencearchive.org/incident/2187939,2021,12-2021
2190367,2021-12-12,Florida,Tampa,Alaska Ave,0,5,https://www.gunviolencearchive.org/incident/2190367,2021,12-2021
2187990,2021-12-12,Texas,Baytown,1403 N Market Loop,1,13,https://www.gunviolencearchive.org/incident/2187990,2021,12-2021
2188066,2021-12-12,Virginia,Woodbridge,13989 Jefferson Davis Hwy,0,4,https://www.gunviolencearchive.org/incident/2188066,2021,12-2021
2187027,2021-12-11,Illinois,River Grove,3111 River Rd,1,3,https://www.gunviolencearchive.org/incident/2187027,2021,12-2021
2186517,2021-12-10,Michigan,Lansing,Miller Rd and Cedar St,1,3,https://www.gunviolencearchive.org/incident/2186517,2021,12-2021
2187077,2021-12-10,Florida,Orlando,Jefferson St and Garden Ave,0,5,https://www.gunviolencearchive.org/incident/2187077,2021,12-2021
2186696,2021-12-10,North Carolina,Charlotte,3100 block of Marney Ave,0,5,https://www.gunviolencearchive.org/incident/2186696,2021,12-2021
2186858,2021-12-09,Maryland,Capitol Heights,6700 Walker Mill Rd,0,4,https://www.gunviolencearchive.org/incident/2186858,2021,12-2021
2186246,2021-12-09,Wisconsin,Beloit,1900 block of Porter Ave,1,5,https://www.gunviolencearchive.org/incident/2186246,2021,12-2021
2183667,2021-12-06,Pennsylvania,Philadelphia,1500 block of N 29th St,0,4,https://www.gunviolencearchive.org/incident/2183667,2021,12-2021
2182789,2021-12-05,Michigan,Detroit,5200 block of Marlborough St,2,2,https://www.gunviolencearchive.org/incident/2182789,2021,12-2021
2183120,2021-12-05,Texas,El Paso,2910 Tularosa Ave,1,3,https://www.gunviolencearchive.org/incident/2183120,2021,12-2021
2181840,2021-12-03,Tennessee,Memphis,3885 Elvis Presley Blvd,2,2,https://www.gunviolencearchive.org/incident/2181840,2021,12-2021
2181096,2021-12-02,North Carolina,Elizabeth City,Perry St and Jordan St,3,3,https://www.gunviolencearchive.org/incident/2181096,2021,12-2021
2178487,2021-11-30,Michigan,Oxford,745 N Oxford Rd,4,7,https://www.gunviolencearchive.org/incident/2178487,2021,11-2021
2179099,2021-11-30,Georgia,Rex,3600 block of Jervis Court,4,2,https://www.gunviolencearchive.org/incident/2179099,2021,11-2021
2177268,2021-11-28,Pennsylvania,Philadelphia,1300 block of S 50th St,0,4,https://www.gunviolencearchive.org/incident/2177268,2021,11-2021
2176922,2021-11-28,Maryland,Baltimore,1300 block of North Montford Ave,0,7,https://www.gunviolencearchive.org/incident/2176922,2021,11-2021
2177300,2021-11-28,Illinois,Evanston,1950 Green Bay Rd,1,4,https://www.gunviolencearchive.org/incident/2177300,2021,11-2021
2177416,2021-11-28,California,Lancaster,3500 block of Garnet Lane,5,0,https://www.gunviolencearchive.org/incident/2177416,2021,11-2021
2176653,2021-11-28,Colorado,Aurora,1500 block of Dayton St,0,5,https://www.gunviolencearchive.org/incident/2176653,2021,11-2021
2176667,2021-11-27,New Jersey,Newark,900 block of Bergen St,1,3,https://www.gunviolencearchive.org/incident/2176667,2021,11-2021
2176058,2021-11-26,Tennessee,Nashville,2815 Torbett St,3,4,https://www.gunviolencearchive.org/incident/2176058,2021,11-2021
2175329,2021-11-25,Texas,San Antonio,4000 block of Sunrise Creek Dr,3,1,https://www.gunviolencearchive.org/incident/2175329,2021,11-2021
2175615,2021-11-25,South Carolina,Green Sea,Long Branch Swamp Rd,0,4,https://www.gunviolencearchive.org/incident/2175615,2021,11-2021
2173531,2021-11-23,Florida,Lehigh Acres,Cervantes St,0,4,https://www.gunviolencearchive.org/incident/2173531,2021,11-2021
2174033,2021-11-23,Texas,Marshall,700 block of Cross St,1,3,https://www.gunviolencearchive.org/incident/2174033,2021,11-2021
2174685,2021-11-22,North Carolina,Warsaw,101 Matthews St,2,2,https://www.gunviolencearchive.org/incident/2174685,2021,11-2021
2172178,2021-11-21,New Jersey,Passaic,Howe Ave and Lafayette Ave,0,5,https://www.gunviolencearchive.org/incident/2172178,2021,11-2021
2172657,2021-11-21,Louisiana,Baton Rouge,4888 Plank Rd,1,4,https://www.gunviolencearchive.org/incident/2172657,2021,11-2021
2171568,2021-11-20,California,Fresno,3665 N Pleasant Ave,2,2,https://www.gunviolencearchive.org/incident/2171568,2021,11-2021
2172018,2021-11-20,Illinois,Berwyn,6802 W 26th St,0,4,https://www.gunviolencearchive.org/incident/2172018,2021,11-2021
2170438,2021-11-18,Maryland,Cambridge,700 block of Greenwood Ave,1,3,https://www.gunviolencearchive.org/incident/2170438,2021,11-2021
2169719,2021-11-17,Illinois,East Saint Louis,8300 block of State St,1,3,https://www.gunviolencearchive.org/incident/2169719,2021,11-2021
2170140,2021-11-17,New York,Newburgh,William St and Carson Ave,0,4,https://www.gunviolencearchive.org/incident/2170140,2021,11-2021
2169494,2021-11-17,New York,Bronx,815 Burke Ave,1,3,https://www.gunviolencearchive.org/incident/2169494,2021,11-2021
2168989,2021-11-17,Illinois,Chicago,1240 W Randolph St,0,4,https://www.gunviolencearchive.org/incident/2168989,2021,11-2021
2167778,2021-11-15,New York,New York (Manhattan),101 W 141st St,0,4,https://www.gunviolencearchive.org/incident/2167778,2021,11-2021
2167297,2021-11-15,Colorado,Aurora,1200 Nome St,0,6,https://www.gunviolencearchive.org/incident/2167297,2021,11-2021
2166673,2021-11-14,Pennsylvania,Philadelphia,2700 block of N Howard St,0,6,https://www.gunviolencearchive.org/incident/2166673,2021,11-2021
2166768,2021-11-14,Missouri,Columbia,19 N 5th St,1,5,https://www.gunviolencearchive.org/incident/2166768,2021,11-2021
2166953,2021-11-14,Oregon,Chiloquin,990 Bronco Lane,2,2,https://www.gunviolencearchive.org/incident/2166953,2021,11-2021
2166750,2021-11-14,Arizona,Tucson,1655 W Ajo Way,4,1,https://www.gunviolencearchive.org/incident/2166750,2021,11-2021
2166817,2021-11-14,Alabama,Troy,803 US-231 S,1,5,https://www.gunviolencearchive.org/incident/2166817,2021,11-2021
2166055,2021-11-13,North Carolina,Winston Salem (Winston-salem),400 block of Gregory St,0,4,https://www.gunviolencearchive.org/incident/2166055,2021,11-2021
2167889,2021-11-13,Louisiana,Houma,100 block of Emma St,0,4,https://www.gunviolencearchive.org/incident/2167889,2021,11-2021
2165600,2021-11-12,Virginia,Richmond,3050 Nine Mile Rd,2,2,https://www.gunviolencearchive.org/incident/2165600,2021,11-2021
2165535,2021-11-12,Alabama,Birmingham,1100 block of 33rd St SW,2,2,https://www.gunviolencearchive.org/incident/2165535,2021,11-2021
2163306,2021-11-09,New York,Rochester,Clifton St and Jefferson Ave,0,4,https://www.gunviolencearchive.org/incident/2163306,2021,11-2021
2163772,2021-11-09,Louisiana,Hahnville (Killona),160 Killona Dr,1,4,https://www.gunviolencearchive.org/incident/2163772,2021,11-2021
2163617,2021-11-09,South Dakota,Scotland,710 2nd St,3,2,https://www.gunviolencearchive.org/incident/2163617,2021,11-2021
2162196,2021-11-08,Texas,Victoria,10700 FM 236,3,1,https://www.gunviolencearchive.org/incident/2162196,2021,11-2021
2162269,2021-11-08,Pennsylvania,Philadelphia,200 block of E Louden St,0,4,https://www.gunviolencearchive.org/incident/2162269,2021,11-2021
2161323,2021-11-07,Wisconsin,Kenosha,625 57th St,1,3,https://www.gunviolencearchive.org/incident/2161323,2021,11-2021
2161116,2021-11-06,California,Oakley,33 Malicoat Ave,2,2,https://www.gunviolencearchive.org/incident/2161116,2021,11-2021
2160608,2021-11-06,Texas,Marshall,510 S Alamo Blvd,0,6,https://www.gunviolencearchive.org/incident/2160608,2021,11-2021
2161078,2021-11-06,California,Highland,26998 3rd St,0,4,https://www.gunviolencearchive.org/incident/2161078,2021,11-2021
2160838,2021-11-05,California,Oakland,8400 block of International Blvd,1,3,https://www.gunviolencearchive.org/incident/2160838,2021,11-2021
2158524,2021-11-03,Iowa,Des Moines,11300 block of E 15th St,0,4,https://www.gunviolencearchive.org/incident/2158524,2021,11-2021
2158417,2021-11-03,Virginia,Norfolk,821 Whitaker Ln,3,2,https://www.gunviolencearchive.org/incident/2158417,2021,11-2021
2157991,2021-11-02,Alabama,Mobile,4120 Government Blvd,0,4,https://www.gunviolencearchive.org/incident/2157991,2021,11-2021
2156175,2021-11-01,Florida,Orlando,N Orange Ave and Wall St,0,4,https://www.gunviolencearchive.org/incident/2156175,2021,11-2021
2157206,2021-11-01,Texas,San Antonio,1900 block of W Laurel St,0,4,https://www.gunviolencearchive.org/incident/2157206,2021,11-2021
2155369,2021-10-31,Kentucky,Louisville,6210 Shepherdsville Rd,2,2,https://www.gunviolencearchive.org/incident/2155369,2021,10-2021
2155517,2021-10-31,Colorado,Littleton (Lakewood),6200 block of Alameda Ave,2,2,https://www.gunviolencearchive.org/incident/2155517,2021,10-2021
2155428,2021-10-31,Illinois,Flossmoor,3800 block of Ballantrae Way,1,3,https://www.gunviolencearchive.org/incident/2155428,2021,10-2021
2155282,2021-10-31,Texas,Houston,1909 Schilder Dr,1,3,https://www.gunviolencearchive.org/incident/2155282,2021,10-2021
2155329,2021-10-31,Illinois,Joliet,1018 E Jackson St,3,11,https://www.gunviolencearchive.org/incident/2155329,2021,10-2021
2156001,2021-10-31,Texas,Fort Worth,3700 block of Lebow St,1,3,https://www.gunviolencearchive.org/incident/2156001,2021,10-2021
2154851,2021-10-30,California,Gilroy,400 block of Las Animas Ave,2,2,https://www.gunviolencearchive.org/incident/2154851,2021,10-2021
2154422,2021-10-30,Illinois,Decatur,1100 block of N Union St,0,4,https://www.gunviolencearchive.org/incident/2154422,2021,10-2021
2154441,2021-10-30,Oklahoma,Oklahoma City,NW 122nd St and N Council Rd,0,4,https://www.gunviolencearchive.org/incident/2154441,2021,10-2021
2154873,2021-10-30,California,Sacramento,5560 Palm Ave,2,5,https://www.gunviolencearchive.org/incident/2154873,2021,10-2021
2155172,2021-10-30,Florida,Saint Petersburg,1079 62nd Ave S,1,4,https://www.gunviolencearchive.org/incident/2155172,2021,10-2021
2155001,2021-10-30,Texas,Texarkana,2315 Texas Blvd,1,9,https://www.gunviolencearchive.org/incident/2155001,2021,10-2021
2154283,2021-10-29,New York,Poughkeepsie,32 Cannon St,0,5,https://www.gunviolencearchive.org/incident/2154283,2021,10-2021
2155826,2021-10-29,Michigan,Kalamazoo,3082 S 9th St,0,4,https://www.gunviolencearchive.org/incident/2155826,2021,10-2021
2153285,2021-10-28,Nevada,Las Vegas,3900 block of E Cheyenne Ave,0,4,https://www.gunviolencearchive.org/incident/2153285,2021,10-2021
2153779,2021-10-28,Tennessee,Nashville,210 N 9th St,1,3,https://www.gunviolencearchive.org/incident/2153779,2021,10-2021
2150274,2021-10-25,Idaho,Boise,350 N Milwaukee St,3,3,https://www.gunviolencearchive.org/incident/2150274,2021,10-2021
2154085,2021-10-24,California,Gonzales,Foletta Rd,2,2,https://www.gunviolencearchive.org/incident/2154085,2021,10-2021
2150037,2021-10-24,Mississippi,Crenshaw,413 Jones St,2,3,https://www.gunviolencearchive.org/incident/2150037,2021,10-2021
2148921,2021-10-23,South Carolina,Florence,811 S Irby St,0,6,https://www.gunviolencearchive.org/incident/2148921,2021,10-2021
2148891,2021-10-23,California,Ontario,700 block of E Bonnie Brae Ct,1,4,https://www.gunviolencearchive.org/incident/2148891,2021,10-2021
2148633,2021-10-23,Georgia,Fort Valley,603 Carver Dr,1,7,https://www.gunviolencearchive.org/incident/2148633,2021,10-2021
2148282,2021-10-22,Illinois,Chicago,7901 S Cottage Grove Ave,0,5,https://www.gunviolencearchive.org/incident/2148282,2021,10-2021
2148946,2021-10-22,Washington,Renton,16420 SE 128th St,0,4,https://www.gunviolencearchive.org/incident/2148946,2021,10-2021
2148401,2021-10-22,Maryland,Baltimore,3100 block of W North Ave,0,7,https://www.gunviolencearchive.org/incident/2148401,2021,10-2021
2147114,2021-10-21,New York,Brooklyn,3008 Glenwood Rd,0,4,https://www.gunviolencearchive.org/incident/2147114,2021,10-2021
2147301,2021-10-21,Washington,Tacoma,4258 Everett St,4,0,https://www.gunviolencearchive.org/incident/2147301,2021,10-2021
2147042,2021-10-20,Michigan,Farwell,9539 S Harrison Ave,4,0,https://www.gunviolencearchive.org/incident/2147042,2021,10-2021
2145931,2021-10-19,Wisconsin,Kenosha,610 40th Pl,3,2,https://www.gunviolencearchive.org/incident/2145931,2021,10-2021
2143277,2021-10-17,Louisiana,Grambling,403 Main St,1,7,https://www.gunviolencearchive.org/incident/2143277,2021,10-2021
2143113,2021-10-17,Missouri,Saint Louis,8600 block of Goodfellow Blvd,1,3,https://www.gunviolencearchive.org/incident/2143113,2021,10-2021
2143765,2021-10-17,Texas,Houston,1900 block of Dolly Wright St,0,7,https://www.gunviolencearchive.org/incident/2143765,2021,10-2021
2143889,2021-10-17,Colorado,Colorado Springs,1865 N Academy Blvd,0,5,https://www.gunviolencearchive.org/incident/2143889,2021,10-2021
2144160,2021-10-17,Wisconsin,Racine,Yout St and Carter St,0,6,https://www.gunviolencearchive.org/incident/2144160,2021,10-2021
2143479,2021-10-17,Arkansas,Pine Bluff,820 S Main St,1,9,https://www.gunviolencearchive.org/incident/2143479,2021,10-2021
2143499,2021-10-17,Arkansas,Pine Bluff,University Dr and Pullen Ave,1,3,https://www.gunviolencearchive.org/incident/2143499,2021,10-2021
2143605,2021-10-17,Mississippi,Jackson,3243 Medgar Evers Blvd,3,3,https://www.gunviolencearchive.org/incident/2143605,2021,10-2021
2142402,2021-10-16,Texas,Killeen,308 S Second St,1,3,https://www.gunviolencearchive.org/incident/2142402,2021,10-2021
2142296,2021-10-15,Alabama,Mobile,1621 Virginia St,0,5,https://www.gunviolencearchive.org/incident/2142296,2021,10-2021
2142092,2021-10-14,Minnesota,Minneapolis,814 E Franklin Ave,1,4,https://www.gunviolencearchive.org/incident/2142092,2021,10-2021
2155043,2021-10-14,Mississippi,Mccomb,1300 14th St,0,6,https://www.gunviolencearchive.org/incident/2155043,2021,10-2021
2139048,2021-10-12,Florida,Naples,700 block of 99th Ave,1,5,https://www.gunviolencearchive.org/incident/2139048,2021,10-2021
2139674,2021-10-12,Mississippi,Meridian,2000 block of 17th St,3,1,https://www.gunviolencearchive.org/incident/2139674,2021,10-2021
2139198,2021-10-11,Georgia,Atlanta,4900 Delano Rd,0,6,https://www.gunviolencearchive.org/incident/2139198,2021,10-2021
2137321,2021-10-10,South Carolina,Mc Coll (Mccoll),4181 Hwy 15-401,2,3,https://www.gunviolencearchive.org/incident/2137321,2021,10-2021
2137561,2021-10-10,Iowa,Sioux City,427 Pierce St,0,4,https://www.gunviolencearchive.org/incident/2137561,2021,10-2021
2137198,2021-10-10,Minnesota,Saint Paul,214 7th St W,1,15,https://www.gunviolencearchive.org/incident/2137198,2021,10-2021
2137179,2021-10-10,Illinois,Chicago,1565 N Milwaukee Ave,1,4,https://www.gunviolencearchive.org/incident/2137179,2021,10-2021
2137555,2021-10-10,Delaware,Dover,1500 block of Nathaniel Mitchell Rd,1,4,https://www.gunviolencearchive.org/incident/2137555,2021,10-2021
2136907,2021-10-09,Louisiana,Livingston,17000 block of LA-444,2,4,https://www.gunviolencearchive.org/incident/2136907,2021,10-2021
2137291,2021-10-09,Texas,Dallas,3000 block of South Blvd,0,4,https://www.gunviolencearchive.org/incident/2137291,2021,10-2021
2137575,2021-10-09,New York,Albany,100 block of North Lake Ave,1,6,https://www.gunviolencearchive.org/incident/2137575,2021,10-2021
2137464,2021-10-09,Colorado,Denver,7300 block of E 22nd Ave,1,3,https://www.gunviolencearchive.org/incident/2137464,2021,10-2021
2136230,2021-10-08,Maryland,Baltimore,2600 block of Jefferson St,0,4,https://www.gunviolencearchive.org/incident/2136230,2021,10-2021
2136270,2021-10-08,District of Columbia,Washington,1700 block of Independence Ave SE,1,3,https://www.gunviolencearchive.org/incident/2136270,2021,10-2021
2135536,2021-10-08,Alabama,Montgomery,1800 block of Cotton Ct,1,3,https://www.gunviolencearchive.org/incident/2135536,2021,10-2021
2135508,2021-10-07,Wisconsin,Milwaukee,W Cherry St and N 8th St,3,1,https://www.gunviolencearchive.org/incident/2135508,2021,10-2021
2134657,2021-10-07,Illinois,Chicago,900 block of N Orleans St,0,4,https://www.gunviolencearchive.org/incident/2134657,2021,10-2021
2135498,2021-10-07,Wisconsin,Milwaukee,2400 block of N 37th St,0,5,https://www.gunviolencearchive.org/incident/2135498,2021,10-2021
2135666,2021-10-07,Louisiana,New Orleans,S Robertson St and Martin Luther King Jr Blvd,1,4,https://www.gunviolencearchive.org/incident/2135666,2021,10-2021
2134217,2021-10-06,Maryland,Baltimore,1243 Patterson Park Ave,1,5,https://www.gunviolencearchive.org/incident/2134217,2021,10-2021
2134359,2021-10-06,Louisiana,New Orleans,603 General Taylor,2,2,https://www.gunviolencearchive.org/incident/2134359,2021,10-2021
2136132,2021-10-06,Ohio,Cleveland,9200 block of Marshall Ave,0,4,https://www.gunviolencearchive.org/incident/2136132,2021,10-2021
2135659,2021-10-06,Ohio,Cleveland,Marshall Ave and E 93rd St,0,4,https://www.gunviolencearchive.org/incident/2135659,2021,10-2021
2133962,2021-10-05,Illinois,Rockford,400 block of S Independence Ave,1,3,https://www.gunviolencearchive.org/incident/2133962,2021,10-2021
2133137,2021-10-05,Minnesota,Saint Paul,922 Thomas Ave W,0,4,https://www.gunviolencearchive.org/incident/2133137,2021,10-2021
2132656,2021-10-04,Minnesota,Minneapolis,626 W Broadway Ave,0,4,https://www.gunviolencearchive.org/incident/2132656,2021,10-2021
2131471,2021-10-03,South Carolina,Bishopville,1113 Sumter Hwy,1,4,https://www.gunviolencearchive.org/incident/2131471,2021,10-2021
2131406,2021-10-02,Texas,San Antonio,6222 S New Braunfels Ave,1,3,https://www.gunviolencearchive.org/incident/2131406,2021,10-2021
2130634,2021-10-02,Colorado,Aurora,12230 E Colfax Ave,1,3,https://www.gunviolencearchive.org/incident/2130634,2021,10-2021
2130370,2021-10-01,District of Columbia,Washington,Forrester St SW and Galveston Pl SW,1,5,https://www.gunviolencearchive.org/incident/2130370,2021,10-2021
2130763,2021-10-01,Iowa,Cedar Rapids,525 33rd Ave SW,0,6,https://www.gunviolencearchive.org/incident/2130763,2021,10-2021
2128682,2021-09-29,Illinois,Chicago,800 block of N Milwaukee Ave,0,5,https://www.gunviolencearchive.org/incident/2128682,2021,09-2021
2128023,2021-09-28,Minnesota,Minneapolis,2700 block of Bloomington Ave,1,3,https://www.gunviolencearchive.org/incident/2128023,2021,09-2021
